#Run, E[Ts], E[Tq], E[s], E[Ns], E[Nq], ρ, λ
0,2.091120231586114,-4.8255564212772275E-14,2.0911202315861623,0.016872153774807386,-4.8255564212772275E-14,0.008436076887403887,123.93743524259432
1,1.9796239580440125,3.516087764586063E-15,1.9796239580440091,0.015626852570556463,3.516087764586063E-15,0.007813426285278216,126.67851695519347
2,1.9773428929613768,7.807610767058042E-14,1.9773428929612986,0.015588577134385731,7.807610767058042E-14,0.0077942885671925585,126.84409096366471
3,1.9630777906741754,-1.6520607960923542E-13,1.9630777906743409,0.0165891777021499,-1.6520607960923542E-13,0.008294588851075648,118.33260069970059
4,2.012933677226566,-2.0147034532944612E-13,2.012933677226767,0.016650166370204767,-2.0147034532944612E-13,0.008325083185103218,120.89451320999912
5,1.9457401964796135,-3.4123461245691795E-14,1.9457401964796477,0.014714482467144935,-3.4123461245691795E-14,0.007357241233572597,132.2297643791527
6,2.1157760091467432,3.9270634800790444E-14,2.115776009146704,0.01692434242820727,3.9270634800790444E-14,0.008462171214103479,125.01039596996996
7,2.0281105217261968,1.6951820758193488E-13,2.0281105217260276,0.015920358301799924,1.6951820758193488E-13,0.007960179150899298,127.38915935085087
8,1.9709541300254605,-1.3130497339192494E-14,1.9709541300254734,0.015628508244892397,-1.3130497339192494E-14,0.00781425412244625,126.11214100723413
9,1.9697308209770665,1.032199192344984E-13,1.9697308209769633,0.016124329815687153,1.032199192344984E-13,0.008062164907843155,122.154223354981
10,1.9949502728901884,-4.9107332270283846E-14,1.9949502728902375,0.015649008400207172,-4.9107332270283846E-14,0.007824504200103777,127.47608873757983
11,1.996122712463888,7.915339227835823E-14,1.996122712463809,0.015430878626386287,7.915339227835823E-14,0.007715439313192837,129.35628715968255
12,1.9907135794803092,-7.744381577126626E-14,1.9907135794803867,0.01540987454871247,-7.744381577126626E-14,0.007704937274356535,129.1787943853869
13,2.07786850125985,-3.8002965583996295E-14,2.0778685012598883,0.017013531984061463,-3.8002965583996295E-14,0.008506765992030887,122.1277191457131
