#Run, E[Ts], E[Tq], E[s], E[Ns], E[Nq], ρ, λ
1,14.49298724538015,10.508177706996745,4.062446900109772,3.0836722561422234,10.508177706996745,0.8478477494997394,0.21276995583675745
2,16.665356690454715,12.527365539041494,4.3599147999125405,3.6938326405205135,12.527365539041494,0.9171748955142386,0.22164737959891376
3,17.212435317083443,13.172777758900699,4.120943135527834,3.9641834091796038,13.172777758900699,0.9303705824253897,0.230309269789681
4,20.213384549620127,16.29508018676038,4.0528919527043765,5.04094168051769,16.29508018676038,0.9771715237102585,0.24938632459809537
5,12.931412407765855,8.999373081883581,4.040108423545083,3.06905657109938,8.999373081883581,0.9332044134385077,0.237333438477013
6,19.152697654069648,15.126905296975483,4.049258130648463,4.579714806271631,15.126905296975483,0.9626310192831725,0.23911591406020619
7,16.465190745521834,12.332973962976489,4.258923011251789,3.6423557860781908,12.332973962976489,0.9141104977072104,0.22121552324371524
8,18.535387788767093,14.454048188628708,4.13991473925549,4.356053853844714,14.454048188628708,0.959167150784216,0.23501282538499632
9,11.92312162529061,7.890787390983529,4.032681583304284,2.654301654416117,7.890787390983529,0.8976702381847098,0.22261801379145305
10,17.62821113702595,13.479784568650206,4.176018707946957,3.7446708583887505,13.479784568650206,0.8812290684522994,0.21242489264968678
11,17.027893029716346,13.052164399452586,4.052005463746755,4.0517230726588265,13.052164399452586,0.9460096674178912,0.23794623712915824
12,18.4186482464277,14.277849821047818,4.212172548588902,4.263422169959624,14.277849821047818,0.9584835744676695,0.23147313054238472
13,31.03857060350731,26.93696715177357,4.130836961501591,7.308091017636657,26.93696715177357,0.9657304044837006,0.235451919194077
14,18.52899589021662,14.754177441898246,3.866865680964387,4.647137482689877,14.754177441898246,0.9467377728110704,0.25080352493054325
15,16.214849878221646,12.450319842902298,3.803585787430608,3.8632652416321704,12.450319842902298,0.8969172175970854,0.23825476465378612
16,15.656860850233992,11.297998119795363,4.3966278097910285,3.3182220032784944,11.297998119795363,0.9237914521796222,0.211934054662618
