#Run, E[Ts], E[Tq], E[s], E[Ns], E[Nq], ρ, λ
0,15.715891337425107,-5.564156782027879,3.328673070850451,3.5541339388897737,-5.564156782027879,0.7527762618468415,0.22607893774005827
1,20.044522818264642,-5.761982200638482,3.3707687610358956,4.60759300647035,-5.761982200638482,0.7748316440651656,0.2297728288564332
2,19.177463307627924,-5.6569980116003675,3.3541273845879918,4.353187528888079,-5.6569980116003675,0.7613700136807333,0.22687804448002688
3,19.103700751228363,-5.658534536330791,3.366569960449537,4.3014966235591645,-5.658534536330791,0.7580358123500365,0.22511561148794373
4,18.292392731392233,-5.571060094926901,3.351073720306361,4.081154706863035,-5.571060094926901,0.7476468763543996,0.22312071148583618
5,18.5099905876764,-5.615714153728218,3.3569369534559343,4.154789852280944,-5.615714153728218,0.7535048450133472,0.22446892621079229
6,18.782102662859412,-5.607547345456359,3.348071272481615,4.233381702555926,-5.607547345456359,0.7546366835596344,0.22537734621730562
7,18.306129561140263,-5.56813890337444,3.3413343138728813,4.108323190299505,-5.56813890337444,0.7498734892255614,0.22444501093666483
8,18.11553260491947,-5.541846307950298,3.333239555019645,4.063717207163183,-5.541846307950298,0.747719828654218,0.22429237620249934
9,18.134103622605092,-5.575545354318757,3.341134463807936,4.077041909010192,-5.575545354318757,0.7511783055878644,0.2248100780171842
10,18.142334607284248,-5.578241862819374,3.3383044737030687,4.089176845508353,-5.578241862819374,0.7524344387101438,0.22536413005224595
11,17.898784018022926,-5.571922796043386,3.334846579719984,4.0379722064226735,-5.571922796043386,0.7523426053989809,0.22558598998502533
12,17.746443508112396,-5.557050125917236,3.328482810727188,4.007418095840342,-5.557050125917236,0.7516222752634466,0.22580652767578613
13,17.62599092887698,-5.5539649334225825,3.333596708941265,3.9637247164635014,-5.5539649334225825,0.7496576914892218,0.22486743989449426
14,17.643426237973774,-5.570790873812707,3.338835541299512,3.9686357000294388,-5.570790873812707,0.7510231712936332,0.22492613803968078
15,17.727179419143493,-5.591339595075555,3.3442577602658177,3.9913191715846064,-5.591339595075555,0.7529680722278421,0.22514460851741563
16,17.5794506312719,-5.57192060478859,3.3371240385188727,3.9598248992318967,-5.57192060478859,0.7516973730706539,0.2252500044036166
17,17.593033694632034,-5.564607786328567,3.3342799334602202,3.963973410792836,-5.564607786328567,0.7512630982119459,0.22531439141559878
18,17.475922758992763,-5.558995942891298,3.333385604041672,3.9349898086461503,-5.558995942891298,0.7505662825982741,0.22515744514887176
19,17.50113654792141,-5.543565022840741,3.3300715039417788,3.9358030335595093,-5.543565022840741,0.7488945355803635,0.22487942303409283
20,17.43037965739034,-5.532478093499593,3.327888054876805,3.915895534100231,-5.532478093499593,0.7476407415229344,0.22465498053062585
21,17.3025629858882,-5.5185814428831925,3.3254371196715398,3.88147404876964,-5.5185814428831925,0.7459934052167677,0.2243230336194342
22,17.209943159449363,-5.517788554364563,3.325481223166964,3.8598955772615633,-5.517788554364563,0.7458484985478145,0.22427826897483263
23,17.10036116089969,-5.497796654610389,3.321549105576718,3.8282813674331853,-5.497796654610389,0.7435997656569205,0.22387474570330657
24,17.05420770846696,-5.494487933894949,3.3212605378191906,3.8158619529643283,-5.494487933894949,0.7431287303868154,0.22374345893231803
25,16.997538540669712,-5.489792002530287,3.3203186520870616,3.801591423746911,-5.489792002530287,0.74260722408009,0.22365706347105416
26,17.009203214592393,-5.488335000902638,3.320779427564755,3.8017860388741176,-5.488335000902638,0.7422389342179784,0.2235098244117468
27,17.06865667369586,-5.489386665067759,3.3217440456332192,3.813504461026423,-5.489386665067759,0.7421489563342046,0.22341976904342942
28,17.000555027493416,-5.488713661700744,3.3217650793161506,3.797664521003404,-5.488713661700744,0.742031620051582,0.22338061192105288
29,16.96137296138199,-5.482262506400987,3.3202149068443947,3.787388425190212,-5.482262506400987,0.7413871233158632,0.22329120538845476
30,16.964040833889406,-5.486183029452815,3.321786747169961,3.7873118277672813,-5.486183029452815,0.7416064580406334,0.22325908564049526
31,16.86620595010846,-5.482607454172246,3.321511231679189,3.7631600886970693,-5.482607454172246,0.7410901146463109,0.22312052391188583
32,16.819947012400405,-5.469003917002763,3.318670853622033,3.748588056634173,-5.469003917002763,0.7396176644680231,0.22285880713882728
33,16.855500318824404,-5.47391157657423,3.3208025172505855,3.755266889407815,-5.47391157657423,0.7398474980517818,0.22278518453563786
34,16.80892618698234,-5.4684262405947175,3.3211705408701113,3.739400869721666,-5.4684262405947175,0.7388448179778253,0.2224644282052196
35,16.76728108014854,-5.469432659659005,3.3211767356171875,3.730956194002284,-5.469432659659005,0.7390085997781495,0.2225196953196886
36,16.772204921372662,-5.468282807108828,3.3209796676875656,3.731587954707449,-5.468282807108828,0.7388729021537047,0.22248379518738878
37,16.8669312697237,-5.476979237627374,3.323023975395562,3.7548048179596227,-5.476979237627374,0.7397496458296167,0.22260896689035733
38,16.81444346001389,-5.467788005856283,3.3206376952122185,3.7414275663274625,-5.467788005856283,0.7388841290048158,0.22250946091638255
39,16.75970524465412,-5.4615932413563995,3.3183081679586643,3.729906447016834,-5.4615932413563995,0.7384962234228762,0.22254917494658222
40,16.72408915327101,-5.463807037156125,3.3200398190094056,3.7195122561671914,-5.463807037156125,0.7383917105795446,0.2224051483349121
41,16.74990325588896,-5.465656043278515,3.3208107647239733,3.724869177682821,-5.465656043278515,0.7384869914450837,0.22238201752159262
42,16.762557084931384,-5.470719468363102,3.3225407427642946,3.727578286614569,-5.470719468363102,0.7388509203201393,0.22236823367781647
43,16.7766273744396,-5.475729339380714,3.3246165150877025,3.7296974306066897,-5.475729339380714,0.7391124209486336,0.2223124737022405
44,16.771137532280132,-5.4735801089925245,3.322494286382988,3.7319760717332615,-5.4735801089925245,0.7393338198667799,0.22252531430028438
45,16.78962269292759,-5.472057843675422,3.3212388353731424,3.7379560546998474,-5.472057843675422,0.7394236928872031,0.22263154432361815
46,16.768469973394993,-5.475497632024501,3.3229030707337324,3.731956457909683,-5.475497632024501,0.7395385263836293,0.22255629343742303
47,16.7546987036311,-5.472797260523204,3.3230179749239177,3.726366165182271,-5.472797260523204,0.7390632303859563,0.22240537069048372
48,16.76208030689916,-5.47507164259644,3.323462957084019,3.7287869697044895,-5.47507164259644,0.7393166684429842,0.22244948191861233
49,16.74616666005314,-5.472868630640895,3.322375574878309,3.7261248263494533,-5.472868630640895,0.7392489495247756,0.22250037137330642
50,16.769526944493183,-5.475201986414984,3.3232450829194597,3.7310941905789243,-5.475201986414984,0.7393971495911814,0.22248938731183326
51,16.78480430624562,-5.477485649159269,3.323761871860315,3.735102681842562,-5.477485649159269,0.7396328044630257,0.22252831613061766
52,16.782363477124065,-5.47565753330547,3.3241196393113026,3.7321498675658193,-5.47565753330547,0.7392351314842699,0.22238186670509583
53,16.77114339144096,-5.469594232976258,3.3223387160888396,3.7290571592633324,-5.469594232976258,0.7387207112576223,0.22234558612982203
54,16.771957565219868,-5.467696244110001,3.3216810267818033,3.729300446673834,-5.467696244110001,0.7385868041172206,0.2223492995998678
55,16.77140232634116,-5.475512634923188,3.3241332838620505,3.72955814061684,-5.475512634923188,0.739207617114492,0.22237206293174483
56,16.748088548378284,-5.475589514257166,3.324416498552924,3.723733812167606,-5.475589514257166,0.7391435796169136,0.22233322111864
57,16.716317201747124,-5.470788718900211,3.3232377117619367,3.7156252594207584,-5.470788718900211,0.7386738260501384,0.22227525702366194
58,16.761596907001405,-5.476779178140476,3.324655191663678,3.7271296824031532,-5.476779178140476,0.7392744926009693,0.2223594322690628
59,16.762525813458016,-5.480490547963096,3.3261766088576388,3.7266294879129416,-5.480490547963096,0.7394725574485507,0.22231805835815274
60,16.75067666961591,-5.479888431547419,3.327087507365675,3.7212363008848928,-5.479888431547419,0.7391270844053414,0.2221504829073481
61,16.736987237938063,-5.480000884856949,3.3273418913363737,3.717657725534204,-5.480000884856949,0.739076759273683,0.22212377886166879
62,16.74636300452459,-5.479605064943556,3.3278096672184034,3.718254363369163,-5.479605064943556,0.738885381396173,0.22203102322472862
63,16.73505132194867,-5.477337570289345,3.3270999467394198,3.715628666270509,-5.477337570289345,0.7387051105985245,0.22202186146263886
64,16.73978044890512,-5.476264782342286,3.326783022162348,3.716577975201833,-5.476264782342286,0.7386147354909106,0.2220184745501759
65,16.728421682318036,-5.474427817229528,3.3268109761535283,3.7124728599670336,-5.474427817229528,0.7383060813361197,0.22192334814242456
66,16.717101716261197,-5.473802721104768,3.326929497114813,3.7091534272521614,-5.473802721104768,0.7381717331088654,0.22187765795274542
67,16.710127469216665,-5.473423022374142,3.3273576439111565,3.7062375223520405,-5.473423022374142,0.7379942357032482,0.22179178210995937
68,16.704361876783477,-5.473184415620372,3.327202176373557,3.705145937147921,-5.473184415620372,0.7379970403415368,0.2218048871520746
69,16.73480937509287,-5.477117839350444,3.3285278473065354,3.7118635205667623,-5.477117839350444,0.7382839455581894,0.22180322082988718
70,16.761854673751973,-5.48241878982996,3.3294644249516736,3.7199177956860416,-5.48241878982996,0.7388999729174358,0.22192348371904505
71,16.769089208598196,-5.48138091895914,3.328614887034647,3.7227714925758484,-5.48138091895914,0.7389591919436178,0.22200471646947073
72,16.776986886480678,-5.4832507595572135,3.329264977633516,3.7244582894230036,-5.4832507595572135,0.7390903162489112,0.22199724576217264
73,16.766238736230648,-5.483699647949102,3.329593606290176,3.7216285567617082,-5.483699647949102,0.7390751642348707,0.2219694985502777
74,16.739932876038953,-5.4778838417135844,3.3280476424888548,3.714818113535469,-5.4778838417135844,0.7385389031471433,0.22191188807981643
75,16.761842292564573,-5.478152615913013,3.327953223701849,3.720135838224911,-5.478152615913013,0.7386084321364388,0.22194590910083992
76,16.767438445346972,-5.4798711801343325,3.3283121324550033,3.7219080383600174,-5.4798711801343325,0.7387933297225295,0.22197134392660456
77,16.768722148732884,-5.477716696769408,3.3280482559327944,3.7210673030678145,-5.477716696769408,0.7385113450114126,0.2219035337927088
78,16.75338425139533,-5.475624397810086,3.3276462011860364,3.7169328532788577,-5.475624397810086,0.7382769536994788,0.22186007382387826
79,16.732423413126575,-5.47252579680545,3.326857558089569,3.7116791080358396,-5.47252579680545,0.7379820238164072,0.22182471929679856
80,16.725284893652145,-5.474407248064986,3.3279234078926945,3.709012777215645,-5.474407248064986,0.7380030008429795,0.22176045392681654
81,16.707469708866235,-5.47203403005538,3.3275069184397097,3.7041389824485678,-5.47203403005538,0.7377267956032248,0.2217056566963337
82,16.716176994470835,-5.470257838358331,3.3271720790792343,3.7054354941457692,-5.470257838358331,0.7375263806448612,0.22166805292157465
83,16.726085333992962,-5.469497794095455,3.327261811025847,3.706786151994103,-5.469497794095455,0.7373780390862748,0.22161453798341285
84,16.717717247845325,-5.466188040932816,3.326129921748143,3.7050021850243846,-5.466188040932816,0.7371412283779447,0.22162073974663923
85,16.774858272362486,-5.474377795635051,3.3288113943670825,3.7177856019176714,-5.474377795635051,0.7377592628527454,0.22162544294646744
86,16.779098461489177,-5.475391199700991,3.3289304978624714,3.7192661631527573,-5.475391199700991,0.7378929558464667,0.22165912174059887
87,16.788224838504902,-5.4754156802716265,3.329210057523221,3.720617640664237,-5.4754156802716265,0.7378217642813515,0.2216196115950725
88,16.82075881997878,-5.478738137410577,3.3301631640517844,3.7282105101579357,-5.478738137410577,0.738108752502423,0.22164238997703375
89,16.827621145119615,-5.479353583716753,3.3309309431171523,3.728336691669199,-5.479353583716753,0.7380028315078692,0.22156030305439137
90,16.851251457068933,-5.484901211230308,3.332631149373889,3.73394204388803,-5.484901211230308,0.7384526660895551,0.2215808922614204
91,16.877834774017522,-5.486900793989728,3.3333562049795007,3.739686943542329,-5.486900793989728,0.7385845900759679,0.22157290915942443
92,16.864379357694148,-5.487795946189508,3.334126886157375,3.7355328191787,-5.487795946189508,0.7385234963221254,0.22150126559845928
93,16.84958008417488,-5.486470599592005,3.3338556649768685,3.731831750385317,-5.486470599592005,0.7383797316971464,0.22147825048530845
94,16.84983732825534,-5.485655633705002,3.3337831656061354,3.7313949614463016,-5.485655633705002,0.7382659822974835,0.22144889011288763
