#Run, E[Ts], E[Tq], E[s], E[Ns], E[Nq], ρ, λ
0,1591.3411198248984,0.0,5.079824577372131,313.2669436880679,0.0,1.0,1.5766494062733174
1,1557.4460980659233,-1.0276776291219528E-15,5.12123824951695,304.1151421168164,-1.0276776291219528E-15,1.0000000000000002,1.6207387118805483
2,1693.4616494870177,-9.261656840864849E-16,5.026730284175184,336.89128991429294,-9.261656840864849E-16,1.0000000000000002,1.4652567788763984
3,1736.7637231965616,0.0011057904424553707,5.177195917701231,335.392532355778,0.0011057904424553707,0.999786456930326,1.535743536385681
4,1588.240225299094,0.0,4.907417300224043,323.64075197489,0.0,1.0,1.4985493032335313
5,1770.0382002006606,0.0,4.971131094451842,356.0634725920138,0.0,1.0,1.4538781886774237
6,1644.425326979701,0.0,4.99541350534867,329.1870283048617,0.0,1.0,1.5378873326354436
7,1704.2426015598367,9.131472909366749E-16,4.860022199854845,350.66560017168996,9.131472909366749E-16,0.9999999999999998,1.4448067519642134
8,1792.0001825994707,0.0012470028287861357,4.796491866133143,373.5093200241638,0.0012470028287861357,0.9997400853062568,1.4225522580645504
9,1631.5530381133742,0.0,5.01793335516262,325.1444215445343,0.0,1.0,1.5157082358631355
10,1763.856177532991,0.0,5.139688955516437,343.1834480255544,0.0,1.0,1.5073114201679545
11,1632.8265742480912,-1.0027504980958415E-15,5.212758027620918,313.23659483064614,-1.0027504980958415E-15,1.0000000000000002,1.5823140466948327
12,1739.751753481365,0.0,4.932515678570976,352.7108410500577,0.0,1.0,1.4360065879982933
13,1708.3234303409338,-8.98710179617518E-16,4.655988890663865,366.9088287058512,-8.98710179617518E-16,1.0000000000000002,1.4205833219385355
14,1664.804887446619,9.280558181356411E-16,4.8980500053780585,339.89136199480674,9.280558181356411E-16,0.9999999999999998,1.4682534480836695
15,1703.6974662957552,0.0,4.95991692563976,343.4931455179568,0.0,1.0,1.4970865809472413
16,1849.031646446201,9.27109787739988E-16,5.190157732127799,356.257312759579,9.27109787739988E-16,0.9999999999999998,1.4653933747107601
17,1819.3457545863685,0.0,5.1689578846586075,351.97534883891404,0.0,1.0,1.4385941889495193
18,1669.6192058456786,0.0,4.8949399324540765,341.09084664673617,0.0,1.0,1.4922840422919508
